0000,Deku Tree From Kokiri Forest
0004,Dodongo's Cavern From Death Mountain Trail
0008,Gerudo Training Grounds From Gerudo Fortress
000C,Forest Temple Boss From Forest Temple
0010,Water Temple From Lake Hylia
0014,Lost Scene
0018,Action Testing Room
001C,Stalfos Middle Room
0020,Stalfos Boss Room
0024,Item Testing Room
0028,Inside Jabu Jabu's Belly From Zora's Fountain
002D,Royal Family's Tomb From Graveyard
0033,Market Entrance - Child Day From Market
0034,Market Entrance - Child Night From Market
0035,Market Entrance - Adult From Market
0036,Market Entrance - Adult From Market
0037,Shadow Temple From Graveyard
003B,Shooting Gallery From Kakariko Village
0043,Lakeside Laboratory From Lake Hylia
0047,Dark Link Testing Area
004B,Grave with Shield From Graveyard
004F,Lon Lon Ranch Buildings From Talon's House
0053,Temple of Time From Outside Temple of Time
0063,Treasure Box Shop From Market
0067,Back Alley - Day From Back Alley
0068,Back Alley - Night From Back Alley
0069,Back Alley - Day From Back Alley
006A,Back Alley - Night From Back Alley
006B,Chamber of Sages
0072,Granny's Potion Shop From Kakariko Village
0076,Beta Castle Courtyard
007A,Castle Courtyard - Day From Castle Crawlspace
007E,Lots 'o Pots From Market Entrance
0082,Spirit Temple From Desert Colossus
0088,Ice Cavern From Zora's Fountain
008D,Spirit Temple Boss From Spirit Temple
0094,Collision Testing Arena
0098,Bottom of the Well From Kakariko Village
009C,House of Twins From Kokiri Forest
00A0,Cutscene Map
00AD,Back Alley - Day From Market
00AE,Back Alley - Night From Market
00AF,Back Alley - Day From Market
00B0,Back Alley - Night From Market
00B1,Market - Child Day From Market Entrance
00B2,Market - Child Night From Market Entrance
00B3,Market - Adult From Market Entrance
00B4,Market - Adult From Market Entrance
00B5,Market - Child Day From Market Entrance
00B6,Depth Test
00B7,Bazaar From Kakariko Village
00BB,Link's House (Bed Entrance from Savewarp)
00C1,Kokiri Shop From Kokiri Forest
00C5,Dodongo's Cavern From Dodongo's Cavern Boss
00C9,Know-it-all Brothers From Kokiri Forest
00CD,Hyrule Field (Cutscene Exit)
00DB,Kakariko Village From Hyrule Field
00E4,Graveyard From Kakariko Village
00EA,Zora River From Hyrule Field
00EE,Kokiri Forest (After Forest Medallion Cutscene)
00FC,Sacred Forest Meadow From Lost Woods
0102,Lake Hylia From Hyrule Field
0108,Zora's Domain From Zora River
010E,Zora's Fountain From Sapphire Cutscene Entrance
0117,Gerudo Valley From Hyrule Field
011E,Lost Woods From Kokiri Forest
0123,Desert Colossus From Haunted Wasteland
0129,Gerudo Fortress From Gerudo Valley
0130,Haunted Wasteland From Gerudo Fortress
0134,Tower Collapse Interior
0138,Hyrule Castle From Market Entrance
0139,Hyrule Castle From Market Entrance
013A,Ganon's Castle From Market Entrance
013B,Ganon's Castle From Market Entrance
013C,Ganon's Castle From Market Entrance
013D,Death Mountain Trail From Kakariko Village
0147,Death Mountain Crater From Death Mountain Trail
014D,Goron City From Death Mountain Trail
0153,Zora's Domain (Eyeball Frog Timeout)
0157,Lon Lon Ranch From Hyrule Field
0165,Fire Temple From Death Mountain Crater
0169,Forest Temple From Sacred Forest Meadow
016D,Shooting Gallery From Market Entrance
0171,Outside Temple of Time - Child Day From Market Entrance
0172,Outside Temple of Time - Child Night From Market Entrance
0175,Fire Temple (Outside Boss Door Fire Temple Boss Secret Map #0)
0179,Tower Collapse Interior (Bottom of Boss Room Tower Collapse Exterior Higher)
017D,Hyrule Field From Kakariko Village
0181,Hyrule Field From Zora River Land
0185,Hyrule Field From Lost Woods
0189,Hyrule Field From Lake Hylia
018D,Hyrule Field From Gerudo Valley
0191,Kakariko Village From Death Mountain Trail
0195,Kakariko Village From Graveyard
0199,Zora River From Waterfall
019D,Zora River From Zora's Domain
01A1,Zora's Domain From Zora's Fountain
01A5,Gerudo Valley,Thrown out of Gerudo Fortress when caught without a usable hookshot
01A9,Lost Woods From Sacred Forest Meadow
01AD,Lost Woods,Mushroom Timeout (Adult)
01B1,Lost Woods,Start from the tree opposite of the main entrance
01B5,Tower Collapse Interior,Burning Rocks Tower Collapse Exterior Higher
01B9,Death Mountain Trail From Goron City
01BD,Death Mountain Trail From Death Mountain Crater
01C1,Goron City From Death Mountain Crater
01C5,Lakeside Laboratory,Possibly Eyedrops Timeout
01C9,Tower Collapse Exterior,Tower Collapse Interior Stalfos Room (Higher)
01CD,Market - Child Day From Shooting Gallery
01CE,Market - Child Night From Shooting Gallery
01CF,Market - Adult From Shooting Gallery
01D0,Market - Adult From Shooting Gallery
01D1,Market - Child Day From Happy Mask Shop
01D2,Market - Child Night From Happy Mask Shop
01D3,Market - Adult From Happy Mask Shop
01D4,Market - Adult From Happy Mask Shop
01D5,Market - Child Day From Treasure Box Shop
01D6,Market - Child Night From Treasure Box Shop
01D7,Market - Adult From Treasure Box Shop
01D8,Market - Adult From Treasure Box Shop
01D9,Zora River,Water Entrance from Hyrule Field
01DD,Zora River From Lost Woods
01E1,Desert Colossus From Spirit Temple
01E5,Desert Colossus,Spirit Temple Gauntlets Entrance
01E9,Desert Colossus,Spirit Temple Mirror Shield Entrance
01ED,Desert Colossus,After Requiem Cutscene
01F1,Desert Colossus,Requiem Entrance
01F5,Desert Colossus,Nabooru Capture Cutscene Entrance
01F9,Hyrule Field From Lon Lon Ranch
01FD,Hyrule Field From Market Entrance
0201,Kakariko Village From Kakariko Bazaar
0205,Graveyard From Shadow Temple
0209,Kokiri Forest From Deku Tree
020D,Kokiri Forest,Lost Woods Hyrule Bridge
0211,Kokiri Forest From Link's House
0215,Sacred Forest Meadow From Forest Temple
0219,Lake Hylia From Gerudo Valley
021D,Lake Hylia,Child spawns you around surface from Water Temple
0221,Zora's Fountain From Inside Jabu Jabu's Belly
0225,Zora's Fountain From Zora's Domain
0229,Gerudo Valley,Triggers Fortress Loading Zone
022D,Gerudo Valley From Gerudo Fortress
0231,Gerudo Fortress From Thieves' Hideout (B)
0235,Gerudo Fortress From Thieves' Hideout (C)
0239,Gerudo Fortress From Thieves' Hideout (D)
023D,Hyrule Castle From Castle Courtyard
023E,Hyrule Castle From Castle Courtyard
023F,Ganon's Castle From Inside Ganon's Castle
0240,Ganon's Castle From Inside Ganon's Castle
0241,Hyrule Castle From Castle Courtyard
0242,Death Mountain Trail From Dodongo's Cavern
0246,Death Mountain Crater From Goron City
024A,Death Mountain Crater From Fire Temple
024E,Forest Temple,Outside Boss Door Forest Temple Boss Secret Map #0
0252,Deku Tree From Deku Tree Boss
0256,Tower Collapse Interior,Burning Rocks Tower Collapse Exterior Lower
025A,Market - Child Day From Castle
025B,Market - Child Night From Castle
025C,Market - Adult From Ganon's Castle
025D,Market - Adult From Ganon's Castle
025E,Market - Child Day From Temple of Time
025F,Market - Child Night From Temple of Time
0260,Market - Adult From Temple of Time
0261,Market - Adult From Temple of Time
0262,Market - Child Day,Back Alley (Right)
0263,Market - Child Night,Back Alley (Right)
0264,Market - Adult,Back Alley (Right)
0265,Market - Adult,Back Alley (Right)
0266,Kokiri Forest From Kokiri Shop
026A,Kokiri Forest From Know-it-all Brothers
026E,Market Entrance - Child Day From Lots 'o Pots
026F,Market Entrance - Child Night From Lots 'o Pots
0270,Market Entrance - Adult From Lots 'o Pots
0271,Market Entrance - Adult From Lots 'o Pots
0272,Link's House From Kokiri Forest
0276,Market Entrance - Child Day From Hyrule Field
0277,Market Entrance - Child Night From Hyrule Field
0278,Market Entrance - Adult From Hyrule Field
0279,Market Entrance - Adult From Hyrule Field
027A,Hyrule Field,Positioned near Lake Hylia
027E,Hyrule Field,Owl Drop Spot from Lake Hylia
0282,Hyrule Field,Unused Location
0286,Kokiri Forest From Lost Woods
028A,Hyrule Field,Lon Lon Ranch Southern Fence Jump
028E,Hyrule Field,Lon Lon Ranch Western Fence Jump
0292,Hyrule Field,Lon Lon Ranch Eastern Fence Jump
0296,Castle Courtyard - Day From Zelda's Courtyard
029A,Back Alley - Day,Left Entrance from Market
029B,Back Alley - Night,Left Entrance from Market
029C,Back Alley - Day,Left Entrance from Market
029D,Back Alley - Night,Left Entrance from Market
029E,Market - Child Day,Back Alley (Left)
029F,Market - Child Night,Back Alley (Left)
02A0,Market - Adult,Back Alley (Left)
02A1,Market - Adult,Back Alley (Left)
02A2,Market - Child Day From Market Potion Shop
02A3,Market - Child Night From Potion Shop
02A4,Market - Adult From Potion Shop
02A5,Market - Adult From Potion Shop
02A6,Kakariko Village From Bottom of the Well
02AA,Gerudo Fortress From Thieves' Hideout (E)
02AE,Lon Lon Ranch,Epona's Song Cutscene
